Value,Depth,Log,Well,Type
18.33338964,2990.577834,Deep_RES,100021806218W500,Induction(oohm)
19.45963955,2990.334165,Deep_RES,100021806218W500,Induction(oohm)
20.65507682,2990.16665,Deep_RES,100021806218W500,Induction(oohm)
21.92395174,2990.120981,Deep_RES,100021806218W500,Induction(oohm)
23.48519922,2990.075315,Deep_RES,100021806218W500,Induction(oohm)
24.58731976,2989.968717,Deep_RES,100021806218W500,Induction(oohm)
25.74116094,2989.831659,Deep_RES,100021806218W500,Induction(oohm)
26.09775875,2989.694588,Deep_RES,100021806218W500,Induction(oohm)
25.6233811,2989.435659,Deep_RES,100021806218W500,Induction(oohm)
25.15762618,2989.237653,Deep_RES,100021806218W500,Induction(oohm)
25.74116094,2989.115816,Deep_RES,100021806218W500,Induction(oohm)
26.70310002,2988.963523,Deep_RES,100021806218W500,Induction(oohm)
28.00970248,2988.846349,Deep_RES,100021806218W500,Induction(oohm)
29.19369506,2988.708866,Deep_RES,100021806218W500,Induction(oohm)
30.42773595,2988.529075,Deep_RES,100021806218W500,Induction(oohm)
31.9165876,2988.328132,Deep_RES,100021806218W500,Induction(oohm)
33.05451443,2988.254107,Deep_RES,100021806218W500,Induction(oohm)
35.34079545,2988.063749,Deep_RES,100021806218W500,Induction(oohm)
37.18829389,2987.894538,Deep_RES,100021806218W500,Induction(oohm)
38.39171061,2987.735897,Deep_RES,100021806218W500,Induction(oohm)
38.76027288,2987.545517,Deep_RES,100021806218W500,Induction(oohm)
38.26963696,2987.344552,Deep_RES,100021806218W500,Induction(oohm)
37.54530331,2987.207045,Deep_RES,100021806218W500,Induction(oohm)
36.25277765,2987.048379,Deep_RES,100021806218W500,Induction(oohm)
35.45352658,2986.889717,Deep_RES,100021806218W500,Induction(oohm)
34.78249376,2986.678173,Deep_RES,100021806218W500,Induction(oohm)
34.89344401,2986.582982,Deep_RES,100021806218W500,Induction(oohm)
35.79388215,2986.424339,Deep_RES,100021806218W500,Induction(oohm)
36.95217557,2986.276275,Deep_RES,100021806218W500,Induction(oohm)
39.257199,2986.096491,Deep_RES,100021806218W500,Induction(oohm)
40.65684174,2985.980158,Deep_RES,100021806218W500,Induction(oohm)
42.24069837,2985.853251,Deep_RES,100021806218W500,Induction(oohm)
44.02624655,2985.736921,Deep_RES,100021806218W500,Induction(oohm)
46.47556908,2985.599442,Deep_RES,100021806218W500,Induction(oohm)
48.28610417,2985.535995,Deep_RES,100021806218W500,Induction(oohm)
51.62590828,2985.451406,Deep_RES,100021806218W500,Induction(oohm)
55.19671657,2985.38797,Deep_RES,100021806218W500,Induction(oohm)
59.77110243,2985.335116,Deep_RES,100021806218W500,Induction(oohm)
63.49953762,2985.282254,Deep_RES,100021806218W500,Induction(oohm)
68.98135261,2985.208248,Deep_RES,100021806218W500,Induction(oohm)
74.2238515,2985.144814,Deep_RES,100021806218W500,Induction(oohm)
78.60309779,2985.081375,Deep_RES,100021806218W500,Induction(oohm)
82.18704286,2985.039084,Deep_RES,100021806218W500,Induction(oohm)
88.43315814,2984.996804,Deep_RES,100021806218W500,Induction(oohm)
94.24917396,2984.933367,Deep_RES,100021806218W500,Induction(oohm)
100.4476938,2984.848777,Deep_RES,100021806218W500,Induction(oohm)
106.3741606,2984.753607,Deep_RES,100021806218W500,Induction(oohm)
112.6502921,2984.637283,Deep_RES,100021806218W500,Induction(oohm)
114.0945252,2984.563249,Deep_RES,100021806218W500,Induction(oohm)
114.0945252,2984.404596,Deep_RES,100021806218W500,Induction(oohm)
112.6502921,2984.330553,Deep_RES,100021806218W500,Induction(oohm)
108.77222,2984.193041,Deep_RES,100021806218W500,Induction(oohm)
105.0276535,2984.140143,Deep_RES,100021806218W500,Induction(oohm)
99.80992482,2984.055509,Deep_RES,100021806218W500,Induction(oohm)
92.46530941,2984.002595,Deep_RES,100021806218W500,Induction(oohm)
86.20851573,2983.939108,Deep_RES,100021806218W500,Induction(oohm)
79.61082889,2983.843886,Deep_RES,100021806218W500,Induction(oohm)
73.51807443,2983.706356,Deep_RES,100021806218W500,Induction(oohm)
68.32542523,2983.547675,Deep_RES,100021806218W500,Induction(oohm)
65.97327044,2983.463047,Deep_RES,100021806218W500,Induction(oohm)
62.69574674,2983.293797,Deep_RES,100021806218W500,Induction(oohm)
60.3449079,2983.13513,Deep_RES,100021806218W500,Induction(oohm)
58.45335189,2982.944734,Deep_RES,100021806218W500,Induction(oohm)
57.52992602,2982.786075,Deep_RES,100021806218W500,Induction(oohm)
60.53739791,2982.585134,Deep_RES,100021806218W500,Induction(oohm)
63.90528922,2982.468809,Deep_RES,100021806218W500,Induction(oohm)
68.76201346,2982.352491,Deep_RES,100021806218W500,Induction(oohm)
74.2238515,2982.215021,Deep_RES,100021806218W500,Induction(oohm)
79.61082889,2982.119855,Deep_RES,100021806218W500,Induction(oohm)
83.77261644,2982.024683,Deep_RES,100021806218W500,Induction(oohm)
86.75937396,2981.940081,Deep_RES,100021806218W500,Induction(oohm)
91.00457437,2981.8026,Deep_RES,100021806218W500,Induction(oohm)
94.85141068,2981.68627,Deep_RES,100021806218W500,Induction(oohm)
97.60945373,2981.580512,Deep_RES,100021806218W500,Induction(oohm)
100.4476938,2981.432447,Deep_RES,100021806218W500,Induction(oohm)
104.0289703,2981.273807,Deep_RES,100021806218W500,Induction(oohm)
107.7379306,2981.136321,Deep_RES,100021806218W500,Induction(oohm)
110.1667343,2981.030561,Deep_RES,100021806218W500,Induction(oohm)
113.3701089,2980.903649,Deep_RES,100021806218W500,Induction(oohm)
117.4121102,2980.713279,Deep_RES,100021806218W500,Induction(oohm)
118.5392721,2980.660398,Deep_RES,100021806218W500,Induction(oohm)
120.8261623,2980.480599,Deep_RES,100021806218W500,Induction(oohm)
121.9860993,2980.38541,Deep_RES,100021806218W500,Induction(oohm)
127.1425495,2980.184466,Deep_RES,100021806218W500,Induction(oohm)
127.9549694,2980.004661,Deep_RES,100021806218W500,Induction(oohm)
127.9549694,2979.814278,Deep_RES,100021806218W500,Induction(oohm)
130.0088036,2979.560439,Deep_RES,100021806218W500,Induction(oohm)
127.9549694,2979.338318,Deep_RES,100021806218W500,Induction(oohm)
130.0088036,2979.169094,Deep_RES,100021806218W500,Induction(oohm)
134.2159008,2978.968146,Deep_RES,100021806218W500,Induction(oohm)
139.0011202,2978.83066,Deep_RES,100021806218W500,Induction(oohm)
145.802548,2978.661448,Deep_RES,100021806218W500,Induction(oohm)
143.9569478,2978.50279,Deep_RES,100021806218W500,Induction(oohm)
135.9366159,2978.386423,Deep_RES,100021806218W500,Induction(oohm)
118.5392721,2978.301756,Deep_RES,100021806218W500,Induction(oohm)
107.7379306,2978.217105,Deep_RES,100021806218W500,Induction(oohm)
96.68130851,2978.068987,Deep_RES,100021806218W500,Induction(oohm)
89.28212072,2978.005496,Deep_RES,100021806218W500,Induction(oohm)
82.18704286,2977.931426,Deep_RES,100021806218W500,Induction(oohm)
74.46061298,2977.920812,Deep_RES,100021806218W500,Induction(oohm)
68.76201346,2977.899628,Deep_RES,100021806218W500,Induction(oohm)
64.31363351,2977.814988,Deep_RES,100021806218W500,Induction(oohm)
61.70530098,2977.698626,Deep_RES,100021806218W500,Induction(oohm)
58.26748849,2977.571682,Deep_RES,100021806218W500,Induction(oohm)
