UWI,Lat,Long,Elevation,TVD,DogLegSev,Azimuth
102/16-30-061-18W5/00,54.34048,116.71185,917.6,0,0,0
102/16-30-061-18W5/00,54.34048,116.71185,909,8.6,0,0
102/16-30-061-18W5/00,54.34048,116.71185,853.66,63.94,0.24,260.05
102/16-30-061-18W5/00,54.34048,116.71186,825.56,92.04,1.26,280.46
102/16-30-061-18W5/00,54.34048,116.71188,797.25,120.35,1.23,291.15
102/16-30-061-18W5/00,54.34049,116.7119,769.37,148.23,1.48,294.88
102/16-30-061-18W5/00,54.3405,116.71193,741.1,176.5,1.09,299.93
102/16-30-061-18W5/00,54.34051,116.71197,712.78,204.82,1.14,295.12
102/16-30-061-18W5/00,54.34052,116.71201,684.89,232.71,0.2,293.34
102/16-30-061-18W5/00,54.34053,116.71205,657.06,260.54,0.24,293.04
102/16-30-061-18W5/00,54.34054,116.71208,629.69,287.91,0.5,294.43
102/16-30-061-18W5/00,54.34055,116.71212,600.76,316.84,0.99,285.45
102/16-30-061-18W5/00,54.34055,116.71217,571.85,345.75,0.31,282.91
102/16-30-061-18W5/00,54.34056,116.71221,542.83,374.77,0.37,285.44
102/16-30-061-18W5/00,54.34057,116.71225,514.68,402.92,0.19,283.95
102/16-30-061-18W5/00,54.34058,116.71233,449.83,467.77,0.16,280.22
102/16-30-061-18W5/00,54.34058,116.7124,411.83,505.77,2.39,275.01
102/16-30-061-18W5/00,54.34058,116.71247,383.48,534.12,2.37,263.72
102/16-30-061-18W5/00,54.34057,116.71254,355.09,562.51,2.16,252.09
102/16-30-061-18W5/00,54.34056,116.71263,326.51,591.09,2.56,253.52
102/16-30-061-18W5/00,54.34054,116.71272,298.59,619.01,1.32,254.7
102/16-30-061-18W5/00,54.34053,116.71283,272.19,645.41,2.7,262.92
102/16-30-061-18W5/00,54.34052,116.71294,246.31,671.29,2.82,260.65
102/16-30-061-18W5/00,54.3405,116.71307,220.7,696.9,2.65,254.92
102/16-30-061-18W5/00,54.34048,116.7132,195.45,722.15,2.09,250.35
102/16-30-061-18W5/00,54.34045,116.71335,170.03,747.57,2.12,252.98
102/16-30-061-18W5/00,54.34042,116.7135,145.79,771.81,2.21,252.64
102/16-30-061-18W5/00,54.34039,116.71366,121.11,796.49,1.08,251.88
102/16-30-061-18W5/00,54.34036,116.71382,96.47,821.13,0.7,250.61
102/16-30-061-18W5/00,54.34033,116.71399,71.05,846.55,1.31,248.59
102/16-30-061-18W5/00,54.34022,116.71444,-2.47,920.07,0.26,246.83
102/16-30-061-18W5/00,54.34018,116.71459,-27.54,945.14,0.72,245.37
102/16-30-061-18W5/00,54.34014,116.71474,-52.26,969.86,0.7,246.94
102/16-30-061-18W5/00,54.3401,116.71489,-77.17,994.77,1.43,247.69
102/16-30-061-18W5/00,54.34007,116.71504,-102.14,1019.74,2.52,252.3
102/16-30-061-18W5/00,54.34004,116.7152,-125.9,1043.5,3.83,255.39
102/16-30-061-18W5/00,54.34002,116.71538,-150.25,1067.85,0.58,254.75
102/16-30-061-18W5/00,54.33999,116.71554,-174.66,1092.26,2.06,253.95
102/16-30-061-18W5/00,54.33996,116.7157,-199.63,1117.23,3.69,252.45
102/16-30-061-18W5/00,54.33994,116.71583,-225.08,1142.68,1.42,249.38
102/16-30-061-18W5/00,54.3399,116.71597,-249.68,1167.28,3.02,249.29
102/16-30-061-18W5/00,54.33987,116.71613,-274.37,1191.97,3.67,253.04
102/16-30-061-18W5/00,54.33984,116.7163,-298.82,1216.42,1.8,255.77
102/16-30-061-18W5/00,54.33982,116.71647,-323.45,1241.05,1.48,252.64
102/16-30-061-18W5/00,54.33979,116.71664,-347.68,1265.28,1.29,252.66
102/16-30-061-18W5/00,54.33975,116.71681,-372.17,1289.77,1.31,250.17
102/16-30-061-18W5/00,54.33971,116.71698,-396.95,1314.55,1.94,250.13
102/16-30-061-18W5/00,54.33968,116.71714,-421.25,1338.85,2.51,248.58
102/16-30-061-18W5/00,54.33965,116.71728,-446.37,1363.97,0.84,247.84
102/16-30-061-18W5/00,54.33962,116.71742,-470.8,1388.4,1.85,247.65
102/16-30-061-18W5/00,54.33958,116.71754,-496.21,1413.81,1.24,245.84
102/16-30-061-18W5/00,54.33955,116.71768,-521.73,1439.33,2.85,252.08
102/16-30-061-18W5/00,54.33953,116.71782,-546.94,1464.54,0.88,249.85
102/16-30-061-18W5/00,54.33949,116.71796,-572.12,1489.72,1.69,246.95
102/16-30-061-18W5/00,54.33945,116.7181,-597.16,1514.76,1.56,243.63
102/16-30-061-18W5/00,54.33941,116.71825,-621.9,1539.5,1.81,244.68
102/16-30-061-18W5/00,54.33937,116.7184,-646.63,1564.23,1.03,246.76
102/16-30-061-18W5/00,54.33933,116.71856,-671.42,1589.02,1.94,247.91
102/16-30-061-18W5/00,54.3393,116.7187,-696.43,1614.03,1.45,245.06
102/16-30-061-18W5/00,54.33926,116.71885,-721.48,1639.08,1.59,247.91
102/16-30-061-18W5/00,54.33923,116.719,-746.38,1663.98,0.09,248.09
102/16-30-061-18W5/00,54.33919,116.71915,-771.01,1688.61,2.12,250.18
102/16-30-061-18W5/00,54.33916,116.71933,-795.43,1713.03,3.14,253.92
102/16-30-061-18W5/00,54.33913,116.71952,-819.85,1737.45,1.56,254.19
102/16-30-061-18W5/00,54.33909,116.7197,-842.95,1760.55,0.62,253.1
102/16-30-061-18W5/00,54.33906,116.71989,-866.71,1784.31,1.34,251.92
102/16-30-061-18W5/00,54.33903,116.72006,-890.69,1808.29,0.74,251.19
102/16-30-061-18W5/00,54.33899,116.72024,-914.89,1832.49,2.26,247.1
102/16-30-061-18W5/00,54.33894,116.72042,-938.87,1856.47,1.13,245.6
102/16-30-061-18W5/00,54.3389,116.72058,-963.02,1880.62,1.03,244.97
102/16-30-061-18W5/00,54.33885,116.72074,-987.57,1905.17,1.23,243.25
102/16-30-061-18W5/00,54.33881,116.7209,-1011.94,1929.54,0.91,244.77
102/16-30-061-18W5/00,54.33876,116.72106,-1036.61,1954.21,2.6,243.88
102/16-30-061-18W5/00,54.33872,116.7212,-1061.67,1979.27,2.61,239.45
102/16-30-061-18W5/00,54.33867,116.72133,-1086.02,2003.62,0.26,240.03
102/16-30-061-18W5/00,54.33863,116.72146,-1111.35,2028.95,1.62,242.47
102/16-30-061-18W5/00,54.3386,116.72159,-1136.39,2053.99,1.97,247.44
102/16-30-061-18W5/00,54.33856,116.72173,-1161.84,2079.44,0.75,249.08
102/16-30-061-18W5/00,54.33853,116.72187,-1187.23,2104.83,0.88,248.43
102/16-30-061-18W5/00,54.3385,116.72202,-1211.94,2129.54,1.51,250.02
102/16-30-061-18W5/00,54.33847,116.72217,-1236.98,2154.58,0.97,247.79
102/16-30-061-18W5/00,54.33843,116.72232,-1261.37,2178.97,1.29,246.77
102/16-30-061-18W5/00,54.33838,116.72248,-1286.89,2204.49,1.21,244.37
102/16-30-061-18W5/00,54.33834,116.72264,-1311.34,2228.94,1.38,246.68
102/16-30-061-18W5/00,54.3383,116.72281,-1334.86,2252.46,1.44,248.74
102/16-30-061-18W5/00,54.33826,116.72299,-1359.09,2276.69,2.55,252.05
102/16-30-061-18W5/00,54.33823,116.72318,-1382.98,2300.58,0.89,251.97
102/16-30-061-18W5/00,54.33815,116.72353,-1431.29,2348.89,2.54,246.66
102/16-30-061-18W5/00,54.33811,116.72369,-1455.81,2373.41,1.6,246.88
102/16-30-061-18W5/00,54.33807,116.72384,-1480.53,2398.13,1.17,245.48
102/16-30-061-18W5/00,54.338,116.72408,-1531.57,2449.17,4.22,241.9
102/16-30-061-18W5/00,54.33798,116.72417,-1557.91,2475.51,2.73,242.36
102/16-30-061-18W5/00,54.33795,116.72425,-1583.5,2501.1,0.96,238.75
102/16-30-061-18W5/00,54.33791,116.72433,-1609.52,2527.12,5.78,230.94
102/16-30-061-18W5/00,54.33786,116.72443,-1635.12,2552.72,5.38,221.83
102/16-30-061-18W5/00,54.33778,116.72453,-1660.98,2578.58,4.93,211.07
102/16-30-061-18W5/00,54.33769,116.72461,-1685.6,2603.2,4.35,201.49
102/16-30-061-18W5/00,54.3376,116.72466,-1710.06,2627.66,2.63,195.72
102/16-30-061-18W5/00,54.3375,116.72469,-1734.86,2652.46,3.61,187.82
102/16-30-061-18W5/00,54.3374,116.72471,-1759.57,2677.17,2.63,182.18
102/16-30-061-18W5/00,54.3373,116.72471,-1784.04,2701.64,2.89,175.99
102/16-30-061-18W5/00,54.3372,116.72469,-1808.67,2726.27,1.34,173.77
102/16-30-061-18W5/00,54.33711,116.72467,-1831.16,2748.76,1.33,171.54
102/16-30-061-18W5/00,54.337,116.72464,-1856.97,2774.57,1.03,170.82
